Time	bounds_k1 (1)	bounds_ub_R1 (1)	C (1)	model_C (1)	model_D (1)	ub_R1 (1)	update_C (1)	update_R3 (1)	vR3 (1)
0	-0.2	1	0	0	0	1	0	0.1	1
0.1	-0.2	0.9801986733	0	0	0	0.9801986733	0	0.1	1
0.2	-0.2	0.9801986733	0.01960397347	0.01960397347	3.96E-04	0.9801986733	0.01960397347	0.1	0.980198673
0.3	-0.2	0.9607894392	0.1960397347	0.1960397347	0.003960265339	0.9607894392	0.1960397347	0.1	0.980198673
0.4	-0.2	0.9607894392	0.1960397347	0.1960397347	0.004356291873	0.9607894392	0.1960397347	0.1	0.960789439
0.5	-0.2	0.9417645336	0.2113736766	0.2113736766	0.008230296851	0.9417645336	0.2113736766	0.1	0.960789439
0.6	-0.2	0.9417645336	0.3843157756	0.3843157756	0.01211998553	0.9417645336	0.3843157756	0.1	0.941764534
0.7	-0.2	0.9231163464	0.3805107945	0.3805107945	0.0159171248	0.9231163464	0.3805107945	0.1	0.941764534
0.8	-0.2	0.9231163464	0.395541104	0.395541104	0.02011044587	0.9231163464	0.395541104	0.1	0.923116346
0.9	-0.2	0.904837418	0.5613290827	0.5613290827	0.02725672446	0.904837418	0.5613290827	0.1	0.923116346
1	-0.2	0.904837418	0.5575994453	0.5575994453	0.03137470186	0.904837418	0.5575994453	0.1	0.904837418
1.1	-0.2	0.8869204367	0.5686763489	0.5686763489	0.03874474875	0.8869204367	0.5686763489	0.1	0.904837418
1.2	-0.2	0.8869204367	0.7311815057	0.7311815057	0.04614554808	0.8869204367	0.7311815057	0.1	0.886920437
1.3	-0.2	0.8693582354	0.7239423239	0.7239423239	0.0533693538	0.8693582354	0.7239423239	0.1	0.886920437
1.4	-0.2	0.8693582354	0.7347998901	0.7347998901	0.06098949051	0.8693582354	0.7347998901	0.1	0.869358235
1.5	-0.2	0.852143789	0.890574789	0.890574789	0.07136015793	0.852143789	0.890574789	0.1	0.869358235
1.6	-0.2	0.852143789	0.8834789526	0.8834789526	0.07883694924	0.852143789	0.8834789526	0.1	0.852143789
1.7	-0.2	0.8352702114	0.8906786351	0.8906786351	0.08935305989	0.8352702114	0.8906786351	0.1	0.852143789
1.8	-0.2	0.8352702114	1.043368984	1.043368984	0.09991440087	0.8352702114	1.043368984	0.1	0.835270211
1.9	-0.2	0.8187307531	1.033038939	1.033038939	0.1102218308	0.8187307531	1.033038939	0.1	0.835270211
2	-0.2	0.8187307531	1.040096059	1.040096059	0.120925735	0.8187307531	1.040096059	0.1	0.818730753
2.1	-0.2	0.802518798	1.186455045	1.186455045	0.1341898126	0.802518798	1.186455045	0.1	0.818730753
2.2	-0.2	0.802518798	1.176329548	1.176329548	0.1446891682	0.802518798	1.176329548	0.1	0.802518798
2.3	-0.2	0.7866278611	1.180004537	1.180004537	0.1580274854	0.7866278611	1.180004537	0.1	0.802518798
2.4	-0.2	0.7866278611	1.32346542	1.32346542	0.1714249432	0.7866278611	1.32346542	0.1	0.786627861
2.5	-0.2	0.7710515858	1.310362235	1.310362235	0.1844985585	0.7710515858	1.310362235	0.1	0.786627861
2.6	-0.2	0.7710515858	1.313964453	1.313964453	0.1979687859	0.7710515858	1.313964453	0.1	0.771051586
2.7	-0.2	0.7557837415	1.451469366	1.451469366	0.2138201847	0.7557837415	1.451469366	0.1	0.771051586
2.8	-0.2	0.7557837415	1.438625641	1.438625641	0.2270309516	0.7557837415	1.438625641	0.1	0.755783741
2.9	-0.2	0.7408182207	1.439102962	1.439102962	0.242891993	0.7408182207	1.439102962	0.1	0.755783741
3	-0.2	0.7408182207	1.573885096	1.573885096	0.2588255396	0.7408182207	1.573885096	0.1	0.740818221
3.1	-0.2	0.7261490371	1.558302589	1.558302589	0.2743717935	0.7261490371	1.558302589	0.1	0.740818221
3.2	-0.2	0.7261490371	1.558770458	1.558770458	0.2903147917	0.7261490371	1.558770458	0.1	0.726149037
3.3	-0.2	0.7117703228	1.68794989	1.68794989	0.3084706431	0.7117703228	1.68794989	0.1	0.726149037
3.4	-0.2	0.7117703228	1.672675938	1.672675938	0.324105087	0.7117703228	1.672675938	0.1	0.711770323
3.5	-0.2	0.6976763261	1.6702588	1.6702588	0.3422121091	0.6976763261	1.6702588	0.1	0.711770323
3.6	-0.2	0.6976763261	1.796880307	1.796880307	0.3604044771	0.6976763261	1.796880307	0.1	0.697676326
3.7	-0.2	0.6838614092	1.779090001	1.779090001	0.3781521111	0.6838614092	1.779090001	0.1	0.697676326
3.8	-0.2	0.6838614092	1.776720725	1.776720725	0.3962966166	0.6838614092	1.776720725	0.1	0.683861409
3.9	-0.2	0.670320046	1.898071975	1.898071975	0.4164957085	0.670320046	1.898071975	0.1	0.683861409
4	-0.2	0.670320046	1.88063394	1.88063394	0.4342879423	0.670320046	1.88063394	0.1	0.670320046
4.1	-0.2	0.6570468198	1.875603307	1.875603307	0.4543854086	0.6570468198	1.875603307	0.1	0.670320046
4.2	-0.2	0.6570468198	1.994551641	1.994551641	0.4745805582	0.6570468198	1.994551641	0.1	0.65704682
4.3	-0.2	0.6440364211	1.974804257	1.974804257	0.4942791009	0.6440364211	1.974804257	0.1	0.65704682
4.4	-0.2	0.6440364211	1.969873237	1.969873237	0.5143746373	0.6440364211	1.969873237	0.1	0.644036421
4.5	-0.2	0.6312836455	2.083864157	2.083864157	0.5363759493	0.6312836455	2.083864157	0.1	0.644036421
4.6	-0.2	0.6312836455	2.064507797	2.064507797	0.5560804613	0.6312836455	2.064507797	0.1	0.631283646
4.7	-0.2	0.6187833918	2.057123862	2.057123862	0.5779326079	0.6187833918	2.057123862	0.1	0.631283646
4.8	-0.2	0.6187833918	2.168857611	2.168857611	0.5998942913	0.6187833918	2.168857611	0.1	0.618783392
4.9	-0.2	0.6065306597	2.147384482	2.147384482	0.621312652	0.6065306597	2.147384482	0.1	0.618783392
5	-0.2	0.6065306597	2.140146759	2.140146759	0.6431281237	0.6065306597	2.140146759	0.1	0.60653066
5.1	-0.2	0.594520548	2.247217485	2.247217485	0.6667094566	0.594520548	2.247217485	0.1	0.60653066
5.2	-0.2	0.594520548	2.226169552	2.226169552	0.6880997318	0.594520548	2.226169552	0.1	0.594520548
5.3	-0.2	0.5827482524	2.216673124	2.216673124	0.7114892241	0.5827482524	2.216673124	0.1	0.594520548
5.4	-0.2	0.5827482524	2.321623707	2.321623707	0.7349996417	0.5827482524	2.321623707	0.1	0.582748252
5.5	-0.2	0.5712090638	2.298638092	2.298638092	0.7579247938	0.5712090638	2.298638092	0.1	0.582748252
5.6	-0.2	0.5712090638	2.289329705	2.289329705	0.7812471696	0.5712090638	2.289329705	0.1	0.571209064
5.7	-0.2	0.5598983666	2.38989429	2.38989429	0.8062038609	0.5598983666	2.38989429	0.1	0.571209064
5.8	-0.2	0.5598983666	2.367363821	2.367363821	0.8290710911	0.5598983666	2.367363821	0.1	0.559898367
5.9	-0.2	0.5488116361	2.355977613	2.355977613	0.8537977658	0.5488116361	2.355977613	0.1	0.559898367
6	-0.2	0.5488116361	2.454550886	2.454550886	0.8786563081	0.5488116361	2.454550886	0.1	0.548811636
6.1	-0.2	0.5379444376	2.430249204	2.430249204	0.9028920563	0.5379444376	2.430249204	0.1	0.548811636
6.2	-0.2	0.5379444376	2.419088458	2.419088458	0.9275251366	0.5379444376	2.419088458	0.1	0.537944438
6.3	-0.2	0.527292424	2.513536409	2.513536409	0.95366886	0.527292424	2.513536409	0.1	0.537944438
6.4	-0.2	0.527292424	2.489715933	2.489715933	0.9778207348	0.527292424	2.489715933	0.1	0.527292424
6.5	-0.2	0.5168513345	2.476645782	2.476645782	1.003700424	0.5168513345	2.476645782	0.1	0.527292424
6.6	-0.2	0.5168513345	2.569223539	2.569223539	1.029722493	0.5168513345	2.569223539	0.1	0.516851334
6.7	-0.2	0.5066169924	2.543786521	2.543786521	1.05508832	0.5066169924	2.543786521	0.1	0.516851334
6.8	-0.2	0.5066169924	2.530975177	2.530975177	1.080851583	0.5066169924	2.530975177	0.1	0.506616992
6.9	-0.2	0.4965853038	2.619672902	2.619672902	1.108009223	0.4965853038	2.619672902	0.1	0.506616992
7	-0.2	0.4965853038	2.594739572	2.594739572	1.1332688	0.4965853038	2.594739572	0.1	0.496585304
7.1	-0.2	0.486752256	2.580175571	2.580175571	1.160132227	0.486752256	2.580175571	0.1	0.496585304
7.2	-0.2	0.486752256	2.667116964	2.667116964	1.187148136	0.486752256	2.667116964	0.1	0.486752256
7.3	-0.2	0.4771139155	2.640710737	2.640710737	1.213478123	0.4771139155	2.640710737	0.1	0.486752256
7.4	-0.2	0.4771139155	2.626435123	2.626435123	1.240205645	0.4771139155	2.626435123	0.1	0.477113916
7.5	-0.2	0.467666427	2.709727293	2.709727293	1.268218245	0.467666427	2.709727293	0.1	0.477113916
7.6	-0.2	0.467666427	2.683843944	2.683843944	1.294422889	0.467666427	2.683843944	0.1	0.467666427
7.7	-0.2	0.4584060113	2.667961509	2.667961509	1.322114643	0.4584060113	2.667961509	0.1	0.467666427
7.8	-0.2	0.4584060113	2.749604383	2.749604383	1.349968582	0.4584060113	2.749604383	0.1	0.458406011
7.9	-0.2	0.4493289641	2.722381476	2.722381476	1.377110397	0.4493289641	2.722381476	0.1	0.458406011
8	-0.2	0.4493289641	2.706813534	2.706813534	1.404649843	0.4493289641	2.706813534	0.1	0.449328964
8.1	-0.2	0.4404316545	2.785024361	2.785024361	1.433371621	0.4404316545	2.785024361	0.1	0.449328964
8.2	-0.2	0.4404316545	2.758340504	2.758340504	1.460372017	0.4404316545	2.758340504	0.1	0.440431655
8.3	-0.2	0.4317105234	2.741301365	2.741301365	1.488749582	0.4317105234	2.741301365	0.1	0.440431655
8.4	-0.2	0.4317105234	2.817963515	2.817963515	1.517298657	0.4317105234	2.817963515	0.1	0.431710523
8.5	-0.2	0.4231620823	2.790063807	2.790063807	1.545112609	0.4231620823	2.790063807	0.1	0.431710523
8.6	-0.2	0.4231620823	2.773362066	2.773362066	1.573324287	0.4231620823	2.773362066	0.1	0.423162082
8.7	-0.2	0.4147829117	2.846796515	2.846796515	1.602621714	0.4147829117	2.846796515	0.1	0.423162082
8.8	-0.2	0.4147829117	2.819449258	2.819449258	1.63028094	0.4147829117	2.819449258	0.1	0.414782912
8.9	-0.2	0.4065696597	2.8014024	2.8014024	1.659213796	0.4065696597	2.8014024	0.1	0.414782912
9	-0.2	0.4065696597	2.873382749	2.873382749	1.688327122	0.4065696597	2.873382749	0.1	0.40656966
9.1	-0.2	0.3985190411	2.844934355	2.844934355	1.716685282	0.3985190411	2.844934355	0.1	0.40656966
9.2	-0.2	0.3985190411	2.827244848	2.827244848	1.745441256	0.3985190411	2.827244848	0.1	0.398519041
9.3	-0.2	0.3906278354	2.896189767	2.896189767	1.775192197	0.3906278354	2.896189767	0.1	0.398519041
9.4	-0.2	0.3906278354	2.868304688	2.868304688	1.803384855	0.3906278354	2.868304688	0.1	0.390627835
9.5	-0.2	0.382892886	2.849387216	2.849387216	1.832753637	0.382892886	2.849387216	0.1	0.390627835
9.6	-0.2	0.382892886	2.916966934	2.916966934	1.862311496	0.382892886	2.916966934	0.1	0.382892886
9.7	-0.2	0.3753110989	2.888087027	2.888087027	1.891096865	0.3753110989	2.888087027	0.1	0.382892886
9.8	-0.2	0.3753110989	2.869544146	2.869544146	1.920280133	0.3753110989	2.869544146	0.1	0.375311099
9.9	-0.2	0.3678794412	2.934269339	2.934269339	1.950373037	0.3678794412	2.934269339	0.1	0.375311099
10	-0.2	0.3678794412	2.905961292	2.905961292	1.978984445	0.3678794412	2.905961292	0.1	0.367879441
10.1	-0.2	0.3605949402	2.886299253	2.886299253	2.00868015	0.3605949402	2.886299253	0.1	0.367879441
10.2	-0.2	0.3605949402	2.949742801	2.949742801	2.038573202	0.3605949402	2.949742801	0.1	0.36059494
10.3	-0.2	0.353454682	2.920538391	2.920538391	2.067678939	0.353454682	2.920538391	0.1	0.36059494
10.4	-0.2	0.353454682	2.901265687	2.901265687	2.097182657	0.353454682	2.901265687	0.1	0.353454682
10.5	-0.2	0.3464558103	2.962024917	2.962024917	2.127515812	0.3464558103	2.962024917	0.1	0.353454682
10.6	-0.2	0.3464558103	2.933398793	2.933398793	2.156441243	0.3464558103	2.933398793	0.1	0.34645581
10.7	-0.2	0.3395955256	2.913107939	2.913107939	2.186364496	0.3395955256	2.913107939	0.1	0.34645581
10.8	-0.2	0.3395955256	2.972664056	2.972664056	2.216493041	0.3395955256	2.972664056	0.1	0.339595526
10.9	-0.2	0.3328710837	2.94323271	2.94323271	2.24582174	0.3328710837	2.94323271	0.1	0.339595526
11	-0.2	0.3328710837	2.923343642	2.923343642	2.275548499	0.3328710837	2.923343642	0.1	0.332871084
11.1	-0.2	0.3262797946	2.980375581	2.980375581	2.306029321	0.3262797946	2.980375581	0.1	0.332871084
11.2	-0.2	0.3262797946	2.951527014	2.951527014	2.3351733	0.3262797946	2.951527014	0.1	0.326279795
11.3	-0.2	0.3198190218	2.930713519	2.930713519	2.365233661	0.3198190218	2.930713519	0.1	0.326279795
11.4	-0.2	0.3198190218	2.986616149	2.986616149	2.395506949	0.3198190218	2.986616149	0.1	0.319819022
11.5	-0.2	0.3134861809	2.957046668	2.957046668	2.424969967	0.3134861809	2.957046668	0.1	0.319819022
11.6	-0.2	0.3134861809	2.936645308	2.936645308	2.454831119	0.3134861809	2.936645308	0.1	0.313486181
11.7	-0.2	0.3072787386	2.990174423	2.990174423	2.485375497	0.3072787386	2.990174423	0.1	0.313486181
11.8	-0.2	0.3072787386	2.961190457	2.961190457	2.514651134	0.3072787386	2.961190457	0.1	0.307278739
11.9	-0.2	0.3011942119	2.939951582	2.939951582	2.544766458	0.3011942119	2.939951582	0.1	0.307278739
12	-0.2	0.3011942119	2.99242075	2.99242075	2.575102043	0.3011942119	2.99242075	0.1	0.301194212
12.1	-0.2	0.2952301669	2.9627938	2.9627938	2.604618863	0.2952301669	2.9627938	0.1	0.301194212
12.2	-0.2	0.2952301669	2.941975483	2.941975483	2.63453389	0.2952301669	2.941975483	0.1	0.295230167
12.3	-0.2	0.2893842179	2.992212883	2.992212883	2.665065573	0.2893842179	2.992212883	0.1	0.295230167
12.4	-0.2	0.2893842179	2.963172586	2.963172586	2.694393947	0.2893842179	2.963172586	0.1	0.289384218
12.5	-0.2	0.2836540265	2.941597309	2.941597309	2.724489781	0.2836540265	2.941597309	0.1	0.289384218
12.6	-0.2	0.2836540265	2.990839942	2.990839942	2.754812922	0.2836540265	2.990839942	0.1	0.283654026
12.7	-0.2	0.2780373005	2.961228642	2.961228642	2.784310567	0.2780373005	2.961228642	0.1	0.283654026
12.8	-0.2	0.2780373005	2.940080585	2.940080585	2.81420649	0.2780373005	2.940080585	0.1	0.2780373
12.9	-0.2	0.272531793	2.987224803	2.987224803	2.844656511	0.272531793	2.987224803	0.1	0.2780373
13	-0.2	0.272531793	2.958199847	2.958199847	2.873966091	0.272531793	2.958199847	0.1	0.272531793
13.1	-0.2	0.267135302	2.936369447	2.936369447	2.903975109	0.267135302	2.936369447	0.1	0.272531793
13.2	-0.2	0.267135302	2.982580147	2.982580147	2.934218206	0.267135302	2.982580147	0.1	0.267135302
13.3	-0.2	0.2618456686	2.953050626	2.953050626	2.963630689	0.2618456686	2.953050626	0.1	0.267135302
13.4	-0.2	0.2618456686	2.931652497	2.931652497	2.993441515	0.2618456686	2.931652497	0.1	0.261845669
13.5	-0.2	0.256660777	2.975890237	2.975890237	3.023747659	0.256660777	2.975890237	0.1	0.261845669
13.6	-0.2	0.256660777	2.946945439	2.946945439	3.052973762	0.256660777	2.946945439	0.1	0.256660777
13.7	-0.2	0.2515785531	2.924934043	2.924934043	3.082835247	0.2515785531	2.924934043	0.1	0.256660777
13.8	-0.2	0.2515785531	2.968295818	2.968295818	3.112937315	0.2515785531	2.968295818	0.1	0.251578553
13.9	-0.2	0.2465969639	2.93890772	2.93890772	3.142205121	0.2465969639	2.93890772	0.1	0.251578553
14	-0.2	0.2465969639	2.91733218	2.91733218	3.171871335	0.2465969639	2.91733218	0.1	0.246596964
14.1	-0.2	0.2417140169	2.958839015	2.958839015	3.201977634	0.2417140169	2.958839015	0.1	0.246596964
14.2	-0.2	0.2417140169	2.930032841	2.930032841	3.231061924	0.2417140169	2.930032841	0.1	0.241714017
14.3	-0.2	0.2369277587	2.907907935	2.907907935	3.260721271	0.2369277587	2.907907935	0.1	0.241714017
14.4	-0.2	0.2369277587	2.948592881	2.948592881	3.290627452	0.2369277587	2.948592881	0.1	0.236927759
14.5	-0.2	0.2322362747	2.919399855	2.919399855	3.31969706	0.2322362747	2.919399855	0.1	0.236927759
14.6	-0.2	0.2322362747	2.897713052	2.897713052	3.349165138	0.2322362747	2.897713052	0.1	0.232236275
14.7	-0.2	0.2276376884	2.936654085	2.936654085	3.379021408	0.2276376884	2.936654085	0.1	0.232236275
14.8	-0.2	0.2276376884	2.90803912	2.90803912	3.407911425	0.2276376884	2.90803912	0.1	0.227637688
14.9	-0.2	0.2231301601	2.885862027	2.885862027	3.437319688	0.2231301601	2.885862027	0.1	0.227637688
15	-0.2	0.2231301601	2.924031976	2.924031976	3.46698079	0.2231301601	2.924031976	0.1	0.22313016
15.1	-0.2	0.218711887	2.895082119	2.895082119	3.495804226	0.218711887	2.895082119	0.1	0.22313016
15.2	-0.2	0.218711887	2.873344162	2.873344162	3.525026192	0.218711887	2.873344162	0.1	0.218711887
15.3	-0.2	0.2143811014	2.909874641	2.909874641	3.554587593	0.2143811014	2.909874641	0.1	0.218711887
15.4	-0.2	0.2143811014	2.88149803	2.88149803	3.583236314	0.2143811014	2.88149803	0.1	0.214381101
15.5	-0.2	0.2101360712	2.859324356	2.859324356	3.612349777	0.2101360712	2.859324356	0.1	0.214381101
15.6	-0.2	0.2101360712	2.895131482	2.895131482	3.641721849	0.2101360712	2.895131482	0.1	0.210136071
15.7	-0.2	0.2059750982	2.86646776	2.86646776	3.670256266	0.2059750982	2.86646776	0.1	0.210136071
15.8	-0.2	0.2059750982	2.844733154	2.844733154	3.699189271	0.2059750982	2.844733154	0.1	0.205975098
15.9	-0.2	0.201896518	2.878999058	2.878999058	3.728415905	0.201896518	2.878999058	0.1	0.205975098
16	-0.2	0.201896518	2.850902915	2.850902915	3.75678133	0.201896518	2.850902915	0.1	0.201896518
16.1	-0.2	0.1978986991	2.828782967	2.828782967	3.785561112	0.1978986991	2.828782967	0.1	0.201896518
16.2	-0.2	0.1978986991	2.86237036	2.86237036	3.814605047	0.1978986991	2.86237036	0.1	0.197898699
16.3	-0.2	0.1939800423	2.834030995	2.834030995	3.842812336	0.1939800423	2.834030995	0.1	0.197898699
16.4	-0.2	0.1939800423	2.812349052	2.812349052	3.871418266	0.1939800423	2.812349052	0.1	0.193980042
16.5	-0.2	0.1901389801	2.844487638	2.844487638	3.900274798	0.1901389801	2.844487638	0.1	0.193980042
16.6	-0.2	0.1901389801	2.81670943	2.81670943	3.928319571	0.1901389801	2.81670943	0.1	0.19013898
16.7	-0.2	0.186373976	2.794688605	2.794688605	3.956731252	0.186373976	2.794688605	0.1	0.19013898
16.8	-0.2	0.186373976	2.826190805	2.826190805	3.985412413	0.186373976	2.826190805	0.1	0.186373976
16.9	-0.2	0.1826835241	2.798209642	2.798209642	4.013258837	0.1826835241	2.798209642	0.1	0.186373976
